EcActivity,

ERR771019_MERGED_FASTQ_InterPro.txt.tsv,ERR771060_MERGED_FASTQ_InterPro.tsv,ERR771064_MERGED_FASTQ_InterPro.tsv,ERR771070_MERGED_FASTQ_InterPro.tsv,
2.3.1.30,0.0,11.0,9.0,22.0,
2.3.1.46,0.0,0.0,18.0,30.0,
2.3.1.5,1.0,6.0,3.0,3.0,
2.3.1.51,0.0,0.0,1.0,1.0,
2.3.1.57 *,2.0,0.0,0.0,0.0,
2.3.1.78 *,34.0,4.0,8.0,9.0,
2.3.1.8,0.0,25.0,147.0,170.0,
2.3.2.2,464.0,107.0,287.0,625.0,
2.3.3.10,13.0,0.0,2.0,3.0,
2.3.3.13,114.0,15.0,215.0,215.0,
2.3.3.9,60.0,19.0,244.0,338.0,
2.4.1.1 *,5.0,8.0,74.0,101.0,
2.4.1.11 *,0.0,0.0,0.0,2.0,
2.4.1.12 *,1.0,0.0,0.0,3.0,
2.4.1.129 *,1.0,0.0,2.0,3.0,
2.4.1.13 *,0.0,0.0,0.0,9.0,
2.4.1.144 *,0.0,0.0,25.0,10.0,
2.4.1.145,1.0,0.0,0.0,0.0,
2.4.1.16 *,0.0,0.0,0.0,1.0,
2.4.1.18 *,3.0,0.0,0.0,12.0,
2.4.1.182 *,14.0,15.0,59.0,110.0,
2.4.1.198 *,0.0,0.0,4.0,7.0,
2.4.1.21 *,169.0,15.0,43.0,63.0,
2.4.1.217 *,0.0,0.0,0.0,1.0,
2.4.1.221 *,0.0,0.0,0.0,4.0,
2.4.1.227 *,252.0,4.0,117.0,122.0,
2.4.1.25 *,75.0,13.0,26.0,63.0,
2.4.1.258,0.0,0.0,3.0,4.0,
2.4.1.34 *,0.0,0.0,18.0,9.0,
2.4.1.5 *,0.0,0.0,1.0,0.0,
2.4.1.69,0.0,2.0,14.0,32.0,
2.4.1.80 *,0.0,6.0,6.0,5.0,
2.4.2.1,0.0,0.0,19.0,9.0,
2.4.2.10,0.0,1.0,1.0,5.0,
2.4.2.17 *,8.0,24.0,159.0,132.0,
2.4.2.18 *,0.0,0.0,0.0,1.0,
2.4.2.19 *,0.0,0.0,1.0,0.0,
2.4.2.21 *,56.0,7.0,17.0,30.0,
2.4.2.8,0.0,0.0,1.0,0.0,
2.5.1.15 *,0.0,0.0,1.0,1.0,
2.5.1.16,0.0,20.0,61.0,103.0,
2.5.1.17 *,63.0,37.0,155.0,174.0,
2.5.1.19 *,0.0,0.0,57.0,56.0,
2.5.1.27 *,0.0,0.0,14.0,16.0,
2.5.1.3 *,0.0,20.0,54.0,93.0,
2.5.1.44 *,0.0,9.0,24.0,4.0,
2.5.1.54 *,164.0,32.0,179.0,172.0,
2.5.1.55 *,454.0,30.0,222.0,311.0,
2.5.1.6 *,216.0,57.0,405.0,496.0,
2.5.1.61 *,135.0,35.0,296.0,405.0,
2.5.1.74 *,0.0,0.0,4.0,2.0,
2.5.1.75 *,0.0,5.0,137.0,135.0,
2.5.1.77 *,0.0,0.0,0.0,1.0,
2.5.1.78 *,19.0,25.0,188.0,218.0,
2.5.1.9 *,0.0,12.0,78.0,80.0,
2.6.1.1,0.0,4.0,0.0,14.0,
2.6.99.2 *,190.0,6.0,63.0,107.0,
2.7.1.1,6.0,0.0,2.0,11.0,
2.7.1.107,1.0,4.0,22.0,33.0,
2.7.1.11,188.0,1.0,327.0,223.0,
2.7.1.12 *,0.0,3.0,0.0,0.0,
2.7.1.130 *,0.0,23.0,65.0,112.0,
2.7.1.144 *,1.0,0.0,0.0,2.0,
2.7.1.156 *,66.0,0.0,18.0,40.0,
2.7.1.158 *,0.0,0.0,4.0,2.0,
2.7.1.161 *,2.0,0.0,0.0,1.0,
2.7.1.19 *,0.0,7.0,25.0,19.0,
2.7.1.2,46.0,4.0,22.0,55.0,
2.7.1.20 *,0.0,0.0,7.0,9.0,
2.7.1.21,0.0,7.0,200.0,99.0,
2.7.1.23 *,92.0,26.0,257.0,288.0,
2.7.1.24 *,0.0,10.0,103.0,105.0,
2.7.1.25,0.0,21.0,77.0,103.0,
2.7.1.30 *,1.0,10.0,56.0,52.0,
2.7.1.33 *,95.0,37.0,101.0,95.0,
2.7.1.35 *,0.0,5.0,0.0,0.0,
2.7.1.40,396.0,79.0,630.0,764.0,
2.7.1.48,0.0,0.0,5.0,26.0,
2.7.1.50 *,5.0,1.0,5.0,0.0,
2.7.1.58 *,65.0,4.0,7.0,20.0,
2.7.1.6,15.0,34.0,66.0,33.0,
2.7.1.69,22.0,15.0,55.0,38.0,
2.7.1.71 *,107.0,43.0,228.0,312.0,
2.7.2.1,44.0,7.0,44.0,46.0,
2.7.2.11 *,0.0,4.0,21.0,20.0,
2.7.2.2,6.0,29.0,2.0,18.0,
2.7.2.3,307.0,99.0,869.0,959.0,
2.7.2.4,0.0,7.0,45.0,37.0,
2.7.4.1 *,244.0,69.0,360.0,282.0,
2.7.4.23 *,11.0,0.0,1.0,1.0,
2.7.4.3 *,8.0,43.0,219.0,217.0,
2.7.4.6,123.0,30.0,406.0,374.0,
2.7.4.8 *,0.0,8.0,15.0,21.0,
2.7.4.9 *,0.0,3.0,27.0,21.0,
2.7.6.1,119.0,18.0,220.0,239.0,
2.7.6.2 *,44.0,3.0,37.0,64.0,
2.7.6.3 *,34.0,64.0,189.0,168.0,
2.7.7.12,53.0,2.0,39.0,20.0,
2.7.7.13,0.0,38.0,81.0,99.0,
2.7.7.18 *,0.0,0.0,1.0,0.0,
2.7.7.2 *,0.0,24.0,186.0,152.0,
2.7.7.27,0.0,0.0,34.0,27.0,
2.7.7.3 *,34.0,26.0,122.0,156.0,
2.7.7.38 *,204.0,11.0,132.0,162.0,
2.7.7.4,28.0,3.0,22.0,55.0,
2.7.7.41 *,0.0,0.0,5.0,3.0,
2.7.7.53 *,0.0,0.0,0.0,1.0,
2.7.7.6,2275.0,376.0,2955.0,3280.0,
2.7.7.60 *,0.0,8.0,115.0,142.0,
