EcActivity,

Oxic surface,Oxycline,Sulfidic 1,Sulfidic 2,
4.2.3.3 *,1.0,0.0,0.0,0.0,
4.2.3.4 *,0.0,3.0,8.0,24.0,
4.2.3.5 *,1.0,5.0,4.0,12.0,
4.3.1.12 *,0.0,2.0,11.0,0.0,
4.3.1.17,0.0,0.0,6.0,5.0,
4.3.1.19,0.0,2.0,9.0,18.0,
4.3.1.3,0.0,0.0,6.0,9.0,
4.3.1.4 *,0.0,1.0,0.0,0.0,
4.3.2.1,1.0,7.0,6.0,19.0,
4.3.2.2,1.0,1.0,4.0,5.0,
4.3.3.2 *,0.0,0.0,0.0,1.0,
4.4.1.21 *,0.0,0.0,0.0,1.0,
4.4.1.22 *,0.0,0.0,3.0,1.0,
4.4.1.5 *,0.0,2.0,1.0,3.0,
4.6.1.1 *,0.0,2.0,0.0,7.0,
4.6.1.12 *,0.0,0.0,1.0,3.0,
4.6.1.2 *,1.0,3.0,2.0,2.0,
4.99.1.1 *,0.0,5.0,15.0,32.0,
4.99.1.3 *,0.0,0.0,1.0,2.0,
5.1.1.1 *,0.0,1.0,1.0,3.0,
5.1.1.11 *,0.0,1.0,1.0,2.0,
5.1.1.3 *,1.0,0.0,3.0,1.0,
5.1.1.4 *,1.0,0.0,0.0,1.0,
5.1.1.7 *,2.0,0.0,4.0,10.0,
5.1.3.1,0.0,7.0,9.0,16.0,
5.1.3.13,0.0,1.0,0.0,6.0,
5.1.3.14 *,0.0,2.0,6.0,9.0,
5.1.3.18,0.0,1.0,1.0,1.0,
5.1.3.2,0.0,0.0,1.0,1.0,
5.1.3.20 *,0.0,4.0,3.0,6.0,
5.1.3.4,0.0,0.0,1.0,0.0,
5.1.3.6,0.0,0.0,5.0,10.0,
5.1.99.1,0.0,1.0,3.0,0.0,
5.3.1.1,1.0,13.0,52.0,78.0,
5.3.1.14 *,0.0,1.0,0.0,0.0,
5.3.1.16 *,3.0,4.0,13.0,39.0,
5.3.1.23 *,0.0,0.0,2.0,2.0,
5.3.1.24 *,0.0,1.0,7.0,8.0,
5.3.1.25 *,0.0,0.0,1.0,3.0,
5.3.1.5,0.0,6.0,2.0,1.0,
5.3.1.6,1.0,5.0,12.0,45.0,
5.3.1.8,0.0,2.0,0.0,1.0,
5.3.1.9,2.0,7.0,7.0,15.0,
5.3.3.10,0.0,0.0,0.0,3.0,
5.3.3.2 *,2.0,0.0,1.0,1.0,
5.4.1.2 *,1.0,0.0,0.0,0.0,
5.4.2.1,3.0,4.0,8.0,16.0,
5.4.2.10 *,1.0,1.0,9.0,44.0,
5.4.2.2,0.0,1.0,0.0,1.0,
5.4.2.6 *,0.0,2.0,1.0,0.0,
5.4.2.7,0.0,0.0,0.0,3.0,
5.4.2.8,0.0,1.0,0.0,3.0,
5.4.3.8 *,0.0,2.0,12.0,10.0,
5.4.99.1 *,0.0,1.0,0.0,1.0,
5.4.99.2,2.0,3.0,11.0,2.0,
5.4.99.5 *,0.0,0.0,6.0,3.0,
5.4.99.7 *,0.0,0.0,1.0,0.0,
5.5.1.4,0.0,2.0,3.0,4.0,
6.1.1.1 *,0.0,3.0,6.0,7.0,
6.1.1.10,0.0,8.0,11.0,10.0,
6.1.1.11 *,0.0,4.0,5.0,28.0,
6.1.1.12 *,2.0,8.0,23.0,26.0,
6.1.1.14 *,1.0,5.0,19.0,17.0,
6.1.1.16 *,1.0,4.0,11.0,9.0,
6.1.1.18 *,0.0,2.0,0.0,0.0,
6.1.1.19 *,2.0,3.0,8.0,20.0,
6.1.1.2,1.0,3.0,5.0,9.0,
6.1.1.20 *,3.0,14.0,29.0,41.0,
6.1.1.21 *,1.0,6.0,9.0,22.0,
6.1.1.22 *,0.0,1.0,3.0,7.0,
6.1.1.26 *,0.0,0.0,0.0,1.0,
6.1.1.3 *,5.0,15.0,21.0,70.0,
6.1.1.4,1.0,3.0,12.0,12.0,
6.1.1.5,6.0,2.0,18.0,26.0,
6.1.1.6 *,2.0,7.0,9.0,21.0,
6.1.1.7 *,2.0,8.0,21.0,25.0,
6.1.1.9,0.0,0.0,3.0,3.0,
6.2.1.1,1.0,16.0,102.0,194.0,
6.2.1.16 *,0.0,1.0,3.0,1.0,
6.2.1.2 *,0.0,0.0,4.0,2.0,
6.2.1.20 *,0.0,2.0,0.0,0.0,
6.2.1.26 *,0.0,0.0,5.0,5.0,
6.2.1.3 *,2.0,8.0,20.0,21.0,
6.3.1.2,17.0,70.0,160.0,534.0,
6.3.1.5,0.0,0.0,3.0,0.0,
6.3.2.1,0.0,1.0,7.0,4.0,
6.3.2.10,0.0,1.0,0.0,0.0,
6.3.2.12 *,0.0,0.0,3.0,5.0,
6.3.2.17 *,0.0,0.0,3.0,4.0,
6.3.2.2 *,2.0,0.0,5.0,14.0,
6.3.2.3 *,0.0,1.0,5.0,6.0,
6.3.2.4,1.0,3.0,7.0,9.0,
6.3.2.5 *,0.0,2.0,1.0,3.0,
6.3.2.6 *,1.0,6.0,7.0,7.0,
6.3.2.8,0.0,1.0,5.0,6.0,
6.3.2.9,0.0,0.0,0.0,6.0,
6.3.3.1 *,7.0,4.0,15.0,30.0,
6.3.3.2 *,2.0,1.0,2.0,1.0,
6.3.3.3 *,0.0,0.0,1.0,3.0,
6.3.4.13 *,3.0,5.0,16.0,17.0,
6.3.4.15 *,0.0,1.0,0.0,1.0,
6.3.4.2 *,4.0,7.0,11.0,33.0,
6.3.4.3,6.0,15.0,20.0,14.0,
6.3.4.4,5.0,4.0,11.0,20.0,
6.3.4.5,1.0,7.0,39.0,60.0,
6.3.4.6 *,0.0,0.0,2.0,1.0,
6.3.5.1 *,2.0,5.0,2.0,9.0,
6.3.5.2,1.0,6.0,22.0,15.0,
6.3.5.3 *,0.0,3.0,32.0,31.0,
6.3.5.4,3.0,7.0,3.0,13.0,
6.4.1.1,0.0,0.0,0.0,3.0,
6.4.1.2,1.0,10.0,11.0,22.0,
6.6.1.1 *,1.0,3.0,9.0,5.0,
6.6.1.2 *,2.0,1.0,0.0,2.0,
1.1.3.37 #,0.0,0.0,3.0,0.0,
1.1.99.16 #,0.0,0.0,1.0,2.0,
1.1.99.8 #,3.0,24.0,13.0,22.0,
1.13.12.14 #,0.0,1.0,0.0,0.0,
1.14.11.18 #,0.0,0.0,1.0,0.0,
1.14.12.17 #,0.0,0.0,0.0,5.0,
1.14.14.3 #,0.0,1.0,1.0,0.0,
1.15.1.1 #,3.0,5.0,13.0,17.0,
1.15.1.2 #,0.0,0.0,62.0,21.0,
1.2.7.8 #,0.0,0.0,5.0,2.0,
1.20.4.1 #,1.0,2.0,1.0,5.0,
1.20.98.1 #,0.0,0.0,2.0,1.0,
1.3.1.34 #,2.0,0.0,0.0,1.0,
1.3.3.11 #,0.0,1.0,0.0,0.0,
1.3.99.15 #,0.0,1.0,1.0,5.0,
1.5.5.1 #,0.0,7.0,6.0,6.0,
1.6.3.1 #,1.0,0.0,0.0,0.0,
1.6.5.5 #,0.0,0.0,0.0,1.0,
1.7.1.13 #,0.0,3.0,1.0,9.0,
1.7.2.3 #,0.0,0.0,5.0,5.0,
1.7.99.6 #,2.0,48.0,9.0,48.0,
1.8.1.8 #,3.0,5.0,19.0,26.0,
1.8.3.2 #,0.0,0.0,1.0,0.0,
1.8.4.11 #,2.0,6.0,34.0,50.0,
1.8.4.12 #,0.0,1.0,2.0,2.0,
1.97.1.4 #,0.0,0.0,4.0,0.0,
2.1.1.100 #,0.0,1.0,1.0,1.0,
2.1.1.137 #,0.0,0.0,2.0,2.0,
2.1.1.144 #,0.0,0.0,0.0,3.0,
2.1.1.29 #,0.0,0.0,0.0,1.0,
2.1.1.31 #,0.0,17.0,39.0,31.0,
2.1.1.33 #,1.0,5.0,6.0,1.0,
2.1.1.35 #,0.0,0.0,3.0,5.0,
2.1.1.36 #,0.0,1.0,0.0,0.0,
2.1.1.48 #,1.0,0.0,1.0,3.0,
2.1.1.52 #,0.0,2.0,4.0,8.0,
2.1.1.55 #,0.0,1.0,1.0,2.0,
2.1.1.63 #,0.0,0.0,0.0,1.0,
2.1.1.72 #,0.0,0.0,0.0,1.0,
2.1.1.74 #,0.0,0.0,1.0,1.0,
2.1.1.77 #,1.0,4.0,8.0,12.0,
2.1.1.79 #,0.0,1.0,6.0,11.0,
2.1.1.80 #,0.0,0.0,6.0,4.0,
2.3.1.108 #,0.0,1.0,0.0,0.0,
2.3.1.128 #,0.0,0.0,0.0,1.0,
2.3.1.144 #,0.0,0.0,0.0,1.0,
2.3.1.183 #,0.0,1.0,0.0,0.0,
2.3.1.28 #,0.0,0.0,0.0,5.0,
2.3.1.38 #,0.0,3.0,0.0,0.0,
2.3.1.48 #,2.0,0.0,2.0,1.0,
2.3.2.6 #,0.0,3.0,2.0,2.0,
2.3.2.8 #,0.0,0.0,1.0,2.0,
2.4.1.121 #,0.0,1.0,0.0,0.0,
2.4.1.187 #,0.0,0.0,0.0,2.0,
2.4.1.19 #,0.0,0.0,0.0,1.0,
2.4.1.212 #,0.0,0.0,3.0,4.0,
2.4.1.57 #,0.0,0.0,0.0,3.0,
2.4.2.29 #,0.0,0.0,3.0,3.0,
2.4.2.30 #,0.0,2.0,0.0,0.0,
2.5.1.42 #,0.0,0.0,1.0,1.0,
2.5.1.72 #,0.0,0.0,6.0,7.0,
2.5.1.8 #,0.0,1.0,2.0,3.0,
2.7.1.160 #,0.0,0.0,0.0,1.0,
2.7.1.78 #,0.0,1.0,0.0,0.0,
2.7.10.2 #,0.0,2.0,60.0,21.0,
2.7.11.1 #,1.0,0.0,4.0,5.0,
2.7.11.12 #,2.0,1.0,1.0,5.0,
2.7.11.2 #,0.0,0.0,2.0,0.0,
2.7.11.22 #,0.0,0.0,0.0,1.0,
2.7.11.24 #,2.0,0.0,0.0,0.0,
2.7.11.5 #,1.0,3.0,16.0,174.0,
2.7.11.7 #,3.0,3.0,8.0,2.0,
2.7.13.3 #,4.0,12.0,62.0,66.0,
2.7.3.9 #,0.0,0.0,0.0,4.0,
2.7.7.19 #,0.0,0.0,1.0,6.0,
2.7.7.21 #,0.0,1.0,1.0,5.0,
2.7.7.25 #,0.0,0.0,1.0,5.0,
2.7.7.42 #,0.0,0.0,1.0,1.0,
2.7.7.49 #,2.0,3.0,9.0,5.0,
2.7.7.56 #,0.0,4.0,3.0,1.0,
2.7.7.59 #,3.0,1.0,1.0,6.0,
2.7.7.65 #,1.0,2.0,33.0,33.0,
2.7.8.17 #,0.0,0.0,1.0,0.0,
2.8.1.1 #,0.0,13.0,36.0,16.0,
2.8.2.20 #,0.0,0.0,3.0,0.0,
2.8.3.16 #,0.0,2.0,1.0,1.0,
3.1.1.29 #,4.0,10.0,65.0,82.0,
3.1.1.53 #,0.0,1.0,1.0,1.0,
3.1.1.61 #,4.0,7.0,40.0,53.0,
3.1.1.79 #,0.0,0.0,2.0,0.0,
3.1.11.1 #,1.0,0.0,0.0,4.0,
3.1.11.3 #,2.0,1.0,1.0,4.0,
3.1.11.5 #,0.0,4.0,2.0,4.0,
3.1.11.6 #,8.0,2.0,2.0,6.0,
3.1.13.1 #,0.0,0.0,1.0,2.0,
3.1.13.4 #,0.0,0.0,2.0,1.0,
3.1.2.15 #,5.0,1.0,2.0,2.0,
3.1.2.27 #,0.0,0.0,0.0,2.0,
3.1.21.2 #,0.0,1.0,2.0,1.0,
3.1.21.4 #,0.0,0.0,0.0,1.0,
3.1.21.7 #,0.0,0.0,0.0,1.0,
3.1.22.4 #,0.0,0.0,1.0,1.0,
3.1.26.11 #,1.0,0.0,4.0,5.0,
3.1.26.12 #,4.0,3.0,3.0,12.0,
3.1.26.3 #,2.0,1.0,4.0,18.0,
3.1.26.4 #,0.0,2.0,5.0,9.0,
3.1.26.5 #,1.0,2.0,11.0,37.0,
3.1.3.16 #,4.0,4.0,2.0,1.0,
3.1.3.48 #,0.0,0.0,3.0,2.0,
3.2.1.141 #,0.0,0.0,0.0,1.0,
3.2.1.17 #,0.0,0.0,2.0,1.0,
3.2.1.41 #,0.0,2.0,0.0,0.0,
3.2.1.6 #,0.0,0.0,2.0,1.0,
3.2.1.73 #,0.0,1.0,4.0,5.0,
3.2.1.89 #,0.0,1.0,0.0,0.0,
3.2.2.20 #,0.0,0.0,0.0,1.0,
3.2.2.23 #,0.0,1.0,0.0,2.0,
3.4.11.15 #,0.0,0.0,0.0,1.0,
3.4.11.18 #,4.0,5.0,24.0,24.0,
3.4.11.19 #,0.0,0.0,0.0,1.0,
3.4.11.21 #,0.0,1.0,2.0,1.0,
3.4.11.4 #,0.0,3.0,0.0,1.0,
3.4.11.9 #,0.0,4.0,0.0,7.0,
3.4.13.19 #,0.0,1.0,0.0,2.0,
3.4.14.1 #,0.0,3.0,1.0,0.0,
3.4.14.10 #,0.0,0.0,0.0,1.0,
3.4.14.5 #,0.0,0.0,0.0,2.0,
3.4.14.9 #,0.0,7.0,0.0,1.0,
3.4.17.22 #,0.0,1.0,1.0,3.0,
3.4.19.1 #,0.0,0.0,2.0,2.0,
3.4.21.102 #,3.0,5.0,9.0,32.0,
3.4.21.105 #,0.0,4.0,4.0,4.0,
3.4.21.108 #,1.0,13.0,12.0,15.0,
3.4.21.110 #,0.0,0.0,0.0,1.0,
3.4.21.26 #,0.0,1.0,2.0,2.0,
3.4.21.50 #,0.0,0.0,0.0,2.0,
3.4.21.53 #,6.0,20.0,86.0,80.0,
3.4.21.62 #,0.0,0.0,0.0,1.0,
3.4.21.88 #,0.0,4.0,1.0,3.0,
3.4.21.89 #,1.0,1.0,3.0,11.0,
3.4.21.92 #,3.0,11.0,34.0,45.0,
3.4.22.1 #,0.0,1.0,1.0,0.0,
3.4.22.10 #,0.0,0.0,3.0,1.0,
3.4.22.28 #,0.0,1.0,1.0,1.0,
3.4.22.34 #,1.0,9.0,2.0,0.0,
3.4.22.40 #,0.0,1.0,2.0,1.0,
3.4.23.36 #,0.0,4.0,1.0,3.0,
3.4.23.43 #,0.0,0.0,0.0,7.0,
3.4.24.3 #,0.0,2.0,20.0,15.0,
3.4.24.36 #,0.0,1.0,0.0,0.0,
3.4.24.57 #,2.0,6.0,9.0,6.0,
3.4.24.59 #,0.0,0.0,0.0,1.0,
3.4.24.64 #,3.0,0.0,0.0,6.0,
3.4.24.75 #,0.0,0.0,2.0,2.0,
3.4.24.84 #,1.0,0.0,5.0,7.0,
3.4.25.1 #,6.0,4.0,3.0,2.0,
3.5.1.28 #,0.0,3.0,9.0,15.0,
3.5.1.44 #,0.0,0.0,0.0,1.0,
3.5.1.88 #,1.0,3.0,3.0,10.0,
3.5.1.97 #,1.0,0.0,0.0,2.0,
3.5.1.98 #,0.0,0.0,2.0,3.0,
3.5.4.28 #,0.0,0.0,0.0,4.0,
3.6.1.52 #,0.0,0.0,0.0,1.0,
3.6.3.1 #,0.0,0.0,2.0,0.0,
3.6.3.12 #,0.0,0.0,1.0,0.0,
3.6.3.16 #,1.0,0.0,8.0,7.0,
3.6.3.17 #,1.0,2.0,7.0,7.0,
3.6.3.33 #,0.0,0.0,0.0,1.0,
3.6.3.4 #,0.0,1.0,5.0,16.0,
3.6.3.40 #,0.0,0.0,1.0,1.0,
3.6.3.44 #,0.0,0.0,2.0,1.0,
3.6.4.3 #,5.0,7.0,25.0,22.0,
3.6.4.6 #,3.0,0.0,11.0,2.0,
4.1.99.3 #,0.0,5.0,4.0,1.0,
4.2.1.96 #,1.0,0.0,0.0,2.0,
4.2.2.1 #,0.0,0.0,0.0,1.0,
4.2.99.18 #,0.0,5.0,17.0,21.0,
5.2.1.8 #,8.0,28.0,138.0,181.0,
5.3.1.13 #,0.0,1.0,12.0,7.0,
5.3.4.1 #,12.0,5.0,34.0,11.0,
5.4.99.12 #,1.0,3.0,8.0,19.0,
5.4.99.9 #,0.0,0.0,2.0,0.0,
5.99.1.2 #,1.0,6.0,9.0,15.0,
5.99.1.3 #,7.0,21.0,41.0,95.0,
6.2.1.22 #,0.0,0.0,0.0,1.0,
6.3.2.19 #,3.0,4.0,0.0,3.0,
6.3.2.25 #,1.0,3.0,0.0,0.0,
6.3.2.29 #,0.0,1.0,0.0,0.0,
6.3.2.30 #,0.0,0.0,1.0,1.0,
6.5.1.1 #,2.0,2.0,0.0,1.0,
6.5.1.2 #,4.0,33.0,11.0,61.0,
