EcActivity ,

,ERR770958_MERGED_FASTQ,,ERR770959_MERGED_FASTQ,,ERR770960_MERGED_FASTQ,,ERR770961_MERGED_FASTQ,,ERR770962_MERGED_FASTQ,,ERR770963_MERGED_FASTQ,,ERR770964_MERGED_FASTQ,
1.1.1.158,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
1.1.1.23 *,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
1.1.1.262 *,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1.1.1.267 *,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1.1.1.86,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1.11.1.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1.17.4.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
1.2.1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1.3.1.13 *,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
1.3.1.26 *,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
1.3.3.3 *,4.0,4.0,4.0,4.0,4.0,4.0,4.0,
1.3.99.3,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
1.6.5.3 *,3.0,3.0,3.0,3.0,3.0,3.0,3.0,
1.9.3.1 *,7.0,7.0,7.0,7.0,7.0,7.0,7.0,
2.1.1.45,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2.3.1.35 *,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2.3.3.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2.5.1.61 *,4.0,4.0,4.0,4.0,4.0,4.0,4.0,
2.5.1.9 *,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2.7.1.130 *,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2.7.2.3,3.0,3.0,3.0,3.0,3.0,3.0,3.0,
2.7.7.6,8.0,8.0,8.0,8.0,8.0,8.0,8.0,
2.7.7.7,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3.1.3.8 *,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3.6.1.1 *,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3.6.1.3 *,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
3.6.1.31 *,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4.2.1.11,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4.2.1.20,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4.2.1.79 *,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4.2.3.5 *,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4.3.2.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4.6.1.12 *,3.0,3.0,3.0,3.0,3.0,3.0,3.0,
5.3.1.9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
5.4.2.1,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
6.1.1.16 *,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
6.1.1.6 *,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
6.3.1.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
6.3.2.1,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
6.3.2.4,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
6.3.4.2 *,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
6.3.4.3,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
1.8.4.11 #,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
2.1.1.77 #,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
3.1.26.4 #,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
3.5.1.28 #,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
4.2.1.96 #,2.0,2.0,2.0,2.0,2.0,2.0,2.0,
5.2.1.8 #,5.0,5.0,5.0,5.0,5.0,5.0,5.0,
5.4.99.12 #,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
5.99.1.3 #,8.0,8.0,8.0,8.0,8.0,8.0,8.0,
6.5.1.2 #,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
