GO	s1.txt	
0051301	1.0	
0051536	12.0	
0051537	2.0	
0051539	3.0	
0051782	2.0	
0051920	1.0	
0052855	1.0	
0055114	107.0	
0070409	1.0	
0070475	1.0	
0070526	1.0	
0071973	7.0	
0080130	1.0	
