!ENTRY_AC	AC
IPR017736	00940+3.2.1.21
IPR018088	00941+2.3.1.74
IPR016216	00950+1.14.18.1
IPR011715	00950+2.6.1.5
IPR005785	00966+2.6.1.42
IPR018319	00970+2.9.1.1
IPR023684	00970+6.1.1.1
IPR023617	00970+6.1.1.1
IPR004527	00970+6.1.1.17
IPR007639	00970+6.1.1.18
IPR007638	00970+6.1.1.18
IPR004514	00970+6.1.1.18
IPR004532	00970+6.1.1.20
IPR012739	00970+6.1.1.26
IPR025567	00970+6.1.1.6
IPR018164	00970+6.1.1.7
IPR014070	00970+6.1.1.9
IPR023631	00970+6.3.5.7
IPR028633	00980+1.1.1.1
IPR002424	00980+1.1.1.1
IPR002425	00980+1.1.1.1
IPR014183	00980+1.1.1.1
IPR023206	00980+1.14.14.1
IPR008066	00980+1.14.14.1
IPR008069	00980+1.14.14.1
IPR008068	00980+1.14.14.1
IPR003082	00980+2.5.1.18
IPR016639	00980+2.5.1.18
IPR028633	00982+1.1.1.1
IPR014187	00982+1.1.1.1
IPR014309	00983+1.17.3.2
IPR026008	00983+2.7.1.48
IPR029925	00983+2.7.1.48
IPR006262	00983+3.5.4.5
IPR002637	00983+3.6.1.19
IPR011944	00984+5.3.3.1
IPR015901	00710+2.7.2.3
IPR015911	00710+2.7.2.3
IPR020548	00710+3.1.3.11
IPR021135	00710+4.1.1.31
IPR018129	00710+4.1.1.31
IPR024680	00710+4.1.1.39
IPR017712	00710+4.1.1.39
IPR015994	00710+4.1.1.49
IPR011289	00710+4.1.2.13
IPR010945	00720+1.1.1.37
IPR014273	00720+1.1.1.42
IPR011280	00720+1.3.5.1
IPR000672	00720+1.5.1.5+3.5.4.9
IPR020630	00720+1.5.1.5+3.5.4.9
IPR004372	00720+2.7.2.1
IPR006475	00720+4.1.3.34
IPR012803	00720+4.2.1.17
IPR016550	00330+2.1.1.2
IPR002292	00330+2.1.3.3
IPR017650	00330+2.3.1.109
IPR027455	00330+2.3.1.57
IPR030374	00330+2.5.1.16
IPR030373	00330+2.5.1.16
IPR015576	00330+2.5.1.22
IPR005715	00330+2.7.2.11
IPR019797	00330+2.7.2.11
IPR004662	00330+2.7.2.8
IPR005945	00330+3.4.11.5
IPR023719	00330+3.5.1.4
IPR014084	00330+3.5.1.54+6.3.4.6
IPR017754	00330+3.5.3.12
IPR007079	00330+3.5.3.23
IPR009165	00330+4.1.1.50
IPR003826	00330+4.1.1.50
IPR008146	00330+6.3.1.2
IPR023437	00330+6.3.4.5
IPR024074	00330+6.3.4.5
IPR005715	00332+2.7.2.11
IPR005861	00340+2.6.1.9
IPR020566	00340+4.2.1.19+3.1.3.15
IPR005923	00340+3.5.3.8
IPR003427	00340+4.1.1.22
IPR006438	00340+4.2.1.19
IPR011858	00340+5.3.1.16
IPR028633	00350+1.1.1.1
IPR029589	00350+1.11.1.8
IPR020931	00350+4.1.1.25
IPR029585	00360+1.11.1.7
IPR023789	00360+1.13.11.16
IPR023643	00360+1.3.1.87
IPR022518	00360+2.6.1.1
IPR012803	00360+4.2.1.17
IPR023144	00360+4.3.1.24
IPR012800	00361+1.13.11.1
IPR010353	00361+1.14.13.7
IPR011956	00362+1.3.7.8
IPR011958	00362+1.3.7.8
IPR017608	00362+1.3.7.9
IPR012806	00362+2.3.1.16
IPR017630	00362+4.1.1.77
IPR014165	00362+4.1.3.17
IPR026029	00362+5.3.3.4
IPR008364	00363+3.1.1.2
IPR023900	00364+4.2.1.84
IPR006108	00380+4.2.1.17+1.1.1.35
IPR005963	00380+1.14.16.4
IPR011166	00380+4.1.99.1
IPR005960	00400+1.14.16.1
IPR012385	00400+1.3.1.13
IPR002480	00400+2.5.1.54
IPR027110	00010+1.2.4.1
IPR006258	00010+1.8.1.4
IPR001312	00010+2.7.1.1
IPR003836	00010+2.7.1.2
IPR003501	00010+2.7.1.69
IPR011300	00010+2.7.1.69
IPR009164	00010+3.1.3.11
IPR023079	00010+3.1.3.11
IPR008209	00010+4.1.1.32
IPR020809	00010+4.2.1.11
IPR023665	00010+5.4.2.12
IPR011275	00020+1.1.1.37
IPR004489	00020+1.3.5.1
IPR006255	00020+2.3.1.61
IPR014608	00020+2.3.3.8
IPR008209	00020+4.1.1.32
IPR015994	00020+4.1.1.49
IPR005811	00020+6.2.1.5
IPR026583	00030+1.1.1.47
IPR004732	00030+2.2.1.2
IPR000023	00030+2.7.1.11
IPR010974	00030+2.7.1.69
IPR004720	00030+2.7.1.69
IPR011297	00030+2.7.1.69
IPR004801	00030+2.7.1.69
IPR009389	00030+2.7.4.23
IPR012699	00030+2.7.4.23
IPR029099	00030+2.7.6.1
IPR006411	00030+4.1.2.13
IPR023014	00030+4.1.2.13
IPR004789	00650+2.2.1.6
IPR010107	00650+4.1.1.15
IPR023698	00660+1.1.1.85
IPR012782	00660+2.2.1.6
IPR013650	00660+6.2.1.5
IPR004620	00670+1.5.1.20
IPR020631	00670+1.5.1.5+3.5.4.9
IPR004223	00670+2.1.1.13
IPR011822	00670+2.1.1.13
IPR001085	00670+2.1.2.1
IPR022384	00670+2.1.2.5
IPR005794	00670+2.1.2.9
IPR024190	00680+1.12.98.2
IPR004222	00680+1.14.13.25
IPR017550	00680+1.2.99.5
IPR002505	00680+2.3.1.8
IPR006271	00680+2.6.1.52
IPR022679	00680+2.8.4.1
IPR015811	00680+2.8.4.1
IPR015823	00680+2.8.4.1
IPR005238	00680+3.1.3.71
IPR003209	00680+3.5.4.27
IPR005952	00680+5.4.2.11
IPR023665	00680+5.4.2.12
IPR000796	00710+2.6.1.1
IPR022518	00710+2.6.1.1
IPR006422	00750+1.2.1.72
IPR021198	00750+1.4.3.5
