!ENTRY_AC	AC
IPR029630	00627+3.1.3.2
IPR030043	00627+3.1.3.2
IPR027147	00627+3.6.1.7
IPR020456	00627+3.6.1.7
IPR023519	00630+1.1.1.26
IPR023958	00630+1.1.1.37
IPR011274	00630+1.1.1.37
IPR006252	00630+2.3.3.9
IPR006382	00630+3.1.3.18
IPR027519	00630+3.5.1.9
IPR007325	00630+3.5.1.9
IPR000685	00630+4.1.1.39
IPR024067	00630+5.4.99.2
IPR001447	00633+2.3.1.5
IPR011304	00640+1.1.1.27
IPR002505	00640+2.3.1.8
IPR004631	00640+2.6.1.19
IPR004363	00640+4.2.3.3
IPR024067	00640+5.4.99.2
IPR014089	00640+6.2.1.13
IPR016102	00640+6.2.1.5
IPR017866	00640+6.2.1.5
IPR011829	00650+1.1.1.83
IPR003361	00650+1.2.1.10
IPR022518	00400+2.6.1.1
IPR023000	00400+2.7.1.71
IPR008289	00400+4.2.1.10+1.1.1.25+2.7.1.71+2.5.1.19+4.2.3.4
IPR010189	00400+2.7.1.71
IPR013798	00400+4.1.1.48
IPR006221	00400+4.1.3.27
IPR008242	00400+4.2.1.51
IPR000453	00400+4.2.3.5
IPR011277	00400+5.4.99.5+1.3.1.12
IPR008243	00400+5.4.99.5
IPR005861	00401+2.6.1.9
IPR010061	00410+1.2.1.18
IPR008143	00430+1.4.1.1
IPR016210	00430+1.4.1.2
IPR023865	00430+2.7.2.1
IPR024169	00440+2.6.1.37
IPR009609	00440+2.7.8.37
IPR005982	00450+1.8.1.9
IPR002650	00450+2.7.7.4
IPR004536	00450+2.7.9.3
IPR027619	00450+4.4.1.8
IPR006233	00450+4.4.1.8
IPR023458	00450+6.1.1.10
IPR014758	00450+6.1.1.10
IPR006183	00480+1.1.1.44
IPR003779	00480+1.11.1.15
IPR024706	00480+1.11.1.15
IPR000358	00480+1.17.4.1
IPR001864	00480+1.8.1.12
IPR016639	00480+2.5.1.18
IPR015576	00480+2.5.1.22
IPR008330	00480+3.4.11.23
IPR027568	00480+4.1.1.17
IPR014709	00480+6.3.2.3
IPR011875	00500+2.4.1.21
IPR003440	00500+2.4.1.34
IPR016377	00500+2.4.1.7
IPR004654	00500+2.7.1.2
IPR001996	00500+2.7.1.69
IPR010973	00500+2.7.1.69
IPR011618	00500+2.7.1.69
IPR005774	00500+2.7.7.9
IPR013777	00500+3.2.1.1
IPR013776	00500+3.2.1.1
IPR018238	00500+3.2.1.2
IPR023720	00500+3.2.1.28
IPR011120	00500+3.2.1.28
IPR005103	00500+3.2.1.4
IPR005086	00500+3.2.1.4
IPR029885	00500+3.6.1.9
IPR029890	00500+3.6.1.9
IPR019490	00500+5.3.1.9
IPR016758	00500+5.3.1.9
IPR001672	00500+5.3.1.9
IPR012810	00500+5.4.99.16
IPR026051	00510+2.4.1.142
IPR007873	00510+2.4.1.258
IPR015827	00510+2.4.1.68
IPR020294	00510+2.4.99.18
IPR026566	00510+2.7.1.108
IPR016285	00511+3.2.1.18
IPR008377	00511+3.2.1.18
IPR026944	00511+3.2.1.18
IPR015344	00511+3.2.1.18
IPR019801	00511+3.2.1.23
IPR004199	00511+3.2.1.23
IPR018954	00511+3.2.1.23
IPR006103	00511+3.2.1.23
IPR023933	00511+3.2.1.23
IPR028369	00511+3.2.1.25
IPR016286	00511+3.2.1.51
IPR027414	00511+3.2.1.51
IPR004866	00513+3.2.1.52
IPR017374	00514+2.4.1.222
IPR023915	00520+2.3.1.157+2.7.7.23
IPR005750	00520+2.5.1.7
IPR022672	00520+2.7.1.1
IPR022673	00520+2.7.1.1
IPR001312	00520+2.7.1.1
IPR023505	00520+2.7.1.59
IPR004719	00520+2.7.1.69
IPR010973	00520+2.7.1.69
IPR004720	00520+2.7.1.69
IPR010975	00520+2.7.1.69
IPR003353	00520+2.7.1.69
IPR011301	00520+2.7.1.69
IPR004718	00520+2.7.1.69
IPR011831	00520+2.7.7.27
IPR029019	00520+3.2.1.52
IPR004866	00520+3.2.1.52
IPR015289	00520+3.2.1.55
IPR018321	00520+3.5.99.6
IPR010551	00520+5.3.1.9
IPR023794	00521+1.1.1.18
IPR022672	00521+2.7.1.1
IPR001312	00521+2.7.1.1
IPR005888	00521+4.2.1.46
IPR001312	00524+2.7.1.1
IPR004654	00524+2.7.1.2
IPR015981	00531+3.1.6.14
IPR001329	00531+3.2.1.35
IPR024240	00531+3.2.1.50
IPR024732	00531+3.2.1.50
IPR025705	00531+3.2.1.52
IPR026037	00564+3.1.3.27
IPR028794	00564+3.1.3.4
IPR003763	00564+3.6.1.26
IPR003817	00564+4.1.1.65
IPR003187	00565+3.1.1.4
IPR001531	00565+3.1.4.3
IPR023206	00590+1.14.14.1
IPR011499	00540+2.4.1.182
IPR003329	00540+2.7.7.38
IPR005758	00550+6.3.2.8
IPR016222	00561+2.3.1.15
IPR028679	00561+3.1.3.4
IPR028674	00561+3.1.3.4
IPR028685	00561+3.1.3.4
IPR002241	00561+3.2.1.22
IPR023510	00562+1.2.1.18
IPR009286	00562+2.7.1.158
IPR014387	00562+2.7.8.11
IPR028380	00562+3.1.4.11
IPR028400	00562+3.1.4.11
IPR008475	00562+3.1.4.3
IPR001531	00562+3.1.4.3
IPR023110	00562+3.7.1.22
IPR013234	00563+2.4.1.198
IPR023002	00564+1.1.1.261
IPR011128	00564+1.1.1.94
IPR024960	00564+2.1.1.71
IPR023775	00564+2.3.1.40
IPR029477	00564+2.7.1.107
IPR004570	00564+2.7.8.5
IPR016270	00564+2.7.8.5
IPR008072	00590+1.14.14.1
IPR023616	00190+1.9.3.1
IPR021050	00190+1.9.3.1
IPR004100	00195+3.6.3.14
IPR013380	00195+3.6.3.14
IPR017710	00195+3.6.3.14
IPR024034	00195+3.6.3.14
IPR005722	00195+3.6.3.14
IPR017609	00230+1.17.1.4
IPR014309	00230+1.17.1.4+1.17.3.2
IPR026459	00230+1.17.4.1
IPR013346	00230+1.17.4.1
IPR005994	00230+1.7.1.7
IPR015806	00230+2.7.1.40
IPR015793	00230+2.7.1.40
IPR003964	00230+2.7.2.2
IPR006259	00230+2.7.4.3
IPR023477	00230+2.7.4.3
IPR027535	00230+2.7.7.4
IPR024951	00230+2.7.7.4
IPR014724	00230+2.7.7.6
IPR005059	00230+2.7.7.6
IPR007647	00230+2.7.7.6
IPR009025	00230+2.7.7.6
IPR012755	00230+2.7.7.6
IPR006110	00230+2.7.7.6
IPR013697	00230+2.7.7.7
IPR018320	00230+2.7.7.7
IPR015361	00230+2.7.7.7
IPR016266	00230+2.7.7.7
IPR006054	00230+2.7.7.7
IPR011149	00230+2.7.7.7
IPR025687	00230+2.7.7.7
IPR002008	00230+2.7.7.7
IPR029703	00230+2.7.7.7
IPR015848	00230+2.7.7.8
IPR006420	00230+3.1.3.5
IPR006294	00230+3.1.4.16+3.1.3.6
IPR020779	00230+3.1.5.1
IPR024350	00230+3.6.1.15
IPR009419	00230+3.6.1.15
IPR002527	00230+3.6.1.15
IPR001157	00230+3.6.1.15
IPR011492	00230+3.6.1.15
IPR014412	00230+3.6.1.15
IPR023709	00230+3.6.1.40
IPR018020	00230+4.1.1.97
IPR030672	00230+4.6.1.1
IPR001636	00230+6.3.2.6
IPR020561	00230+6.3.4.13
IPR008069	00232+1.14.14.1
IPR008068	00232+1.14.14.1
IPR019842	00232+1.7.3.3
IPR019914	00240+1.14.99.46
IPR024434	00240+1.17.4.1
IPR000788	00240+1.17.4.1
IPR013509	00240+1.17.4.1
IPR004467	00240+2.4.2.10
IPR028579	00240+2.4.2.4
IPR001889	00240+2.7.1.21
IPR013672	00240+2.7.1.21
IPR000764	00240+2.7.1.48
IPR029925	00240+2.7.1.48
IPR029920	00240+2.7.1.48
IPR024394	00240+2.7.7.6
IPR022842	00240+2.7.7.6
IPR022905	00240+2.7.7.6
IPR006133	00240+2.7.7.7
IPR001037	00240+2.7.7.7
IPR011325	00240+2.7.7.7
IPR014416	00240+2.7.7.7
IPR016266	00240+2.7.7.7
IPR013617	00240+2.7.7.7
IPR028112	00240+2.7.7.7
IPR030048	00240+3.1.3.5
IPR006434	00240+3.1.3.5
IPR011962	00240+3.5.4.13
IPR006262	00240+3.5.4.5
IPR023937	00240+3.6.1.17
IPR024082	00250+1.2.1.88
IPR028609	00250+1.4.1.1
IPR007780	00250+1.4.1.2
IPR002082	00250+2.1.3.2
IPR003031	00250+4.3.2.1
IPR008147	00250+6.3.1.2
IPR027509	00250+6.3.4.4
IPR018220	00250+6.3.4.4
IPR011762	00253+6.4.1.2
IPR002424	00260+1.1.1.1
IPR014187	00260+1.1.1.1
IPR022697	00260+1.1.1.3
IPR001342	00260+1.1.1.3
IPR006236	00260+1.1.1.95
IPR012132	00260+1.2.1.8+1.1.99.1
IPR007375	00260+1.5.3.1
IPR006278	00260+1.5.3.1
IPR013977	00260+2.1.2.10
IPR005260	00260+2.7.2.4
IPR018042	00260+2.7.2.4
IPR005857	00260+4.2.1.22
IPR001342	00270+1.1.1.3
IPR010300	00270+1.13.11.20
IPR005986	00270+1.2.1.11
IPR015576	00270+2.5.1.22
IPR010049	00270+3.2.2.9
IPR020082	00270+3.3.1.1
IPR017714	00270+4.2.1.109
IPR023702	00270+4.4.1.15
IPR005251	00270+5.3.1.23
IPR012799	00280+4.2.1.17+1.1.1.35
IPR006180	00280+4.2.1.17+1.1.1.35
IPR004789	00290+2.2.1.6
IPR012782	00290+2.2.1.6
IPR002034	00290+2.3.3.13
IPR004430	00290+4.2.1.33
IPR018136	00290+4.2.1.33
IPR000573	00290+4.2.1.33
IPR011820	00290+4.3.1.19
IPR023180	00300+2.3.1.117
IPR019876	00300+2.3.1.117
IPR013477	00300+2.3.3.14
IPR019881	00300+2.6.1.83
IPR012691	00300+4.3.3.7
IPR021654	00310+2.1.1.43
IPR003606	00310+2.1.1.43
IPR011381	00310+2.1.1.43
IPR009170	00310+2.1.1.43
IPR026489	00310+2.1.1.43
IPR001586	00311+3.5.2.6
IPR012280	00330+1.2.1.38
IPR020593	00330+1.2.1.41
IPR024082	00330+1.5.5.2+1.2.1.88
IPR005933	00330+1.5.5.2+1.2.1.88
IPR002872	00330+1.5.5.2
IPR006855	00330+2.3.1.1
IPR014033	00330+3.5.3.1
IPR005925	00330+3.5.3.11
IPR003876	00330+3.5.3.6
IPR027464	00330+4.1.1.17
IPR016105	00330+4.1.1.19
IPR011244	00330+4.3.2.1
IPR008147	00330+6.3.1.2
IPR027302	00330+6.3.1.2
IPR022147	00330+6.3.1.2
IPR001518	00330+6.3.4.5
IPR011529	00332+2.7.2.11
IPR013802	00340+2.1.2.5
IPR013820	00340+2.4.2.17
IPR005920	00340+3.5.2.7
IPR020565	00340+4.2.1.19
IPR023637	00340+4.2.1.49
IPR023921	00350+1.1.1.1
IPR014183	00350+1.1.1.1
IPR022739	00350+1.10.3.1
IPR011984	00350+1.13.11.15
IPR005708	00350+1.13.11.5
IPR021164	00350+1.14.16.2
IPR012686	00350+5.3.3.10+4.1.1.68
IPR005784	00360+2.6.1.21
IPR005861	00360+2.6.1.9
IPR012800	00362+1.13.11.1
IPR012786	00362+1.13.11.3
IPR003361	00362+1.2.1.10
IPR011955	00362+1.3.7.8
IPR017607	00362+1.3.7.9
IPR012788	00362+4.1.1.44
IPR012425	00362+4.1.3.39
IPR006176	00362+4.2.1.17
IPR018141	00364+4.2.1.84
IPR017485	00380+1.13.11.11
IPR005940	00400+2.4.2.18
IPR006219	00400+2.5.1.54
IPR023921	00010+1.1.1.1
IPR006257	00010+2.3.1.12
IPR012828	00010+2.7.1.11
IPR015806	00010+2.7.1.40
IPR015795	00010+2.7.1.40
IPR018113	00010+2.7.1.69
IPR011296	00010+2.7.1.69
IPR028343	00010+3.1.3.11
IPR022891	00010+5.3.1.1
IPR020861	00010+5.3.1.1
IPR023096	00010+5.3.1.9
IPR005952	00010+5.4.2.11
IPR010945	00020+1.1.1.37
IPR027110	00020+1.2.4.1
IPR004660	00020+1.2.4.1
IPR023784	00020+1.2.4.2
IPR014006	00020+1.3.5.1
IPR006249	00020+4.2.1.3
IPR004730	00030+2.2.1.2
IPR011913	00540+2.7.7.70+2.7.1.167
IPR001585	00030+2.2.1.2
IPR022953	00030+2.7.1.11
IPR006001	00030+2.7.1.12
IPR003352	00030+2.7.1.69
IPR029503	00030+2.7.1.69
IPR013013	00030+2.7.1.69
IPR011300	00030+2.7.1.69
IPR029769	00030+4.1.2.13
IPR010763	00030+4.1.2.14
IPR001174	00540+2.7.1.168
IPR014606	00540+2.7.1.168
IPR004515	00540+5.3.1.28
IPR028166	00550+2.4.1.129
IPR005750	00550+2.5.1.7
IPR000667	00550+3.4.16.4
IPR011095	00550+6.3.2.4
IPR004255	00561+2.3.1.20
IPR018483	00561+2.7.1.30
IPR026605	00561+3.1.1.23
IPR002918	00561+3.1.1.3
IPR030561	00562+3.1.3.64
IPR028395	00562+3.1.4.11
IPR028381	00562+3.1.4.11
IPR015359	00562+3.1.4.11
IPR028392	00562+3.1.4.11
IPR001192	00562+3.1.4.11
IPR022896	00562+5.3.1.1
IPR006168	00564+1.1.1.94
IPR017752	00564+1.1.5.3
IPR023590	00564+1.3.99.34
IPR028354	00564+2.3.1.15
IPR022284	00564+2.3.1.15
IPR013090	00564+3.1.1.4
IPR008066	00590+1.14.14.1
IPR014257	00190+1.9.3.1
IPR014367	00190+1.9.3.1
IPR012422	00190+1.9.3.1
IPR025198	00190+2.7.4.1
IPR013380	00190+3.6.3.14
IPR020971	00190+3.6.3.14
IPR022878	00190+3.6.3.14
IPR022890	00195+1.18.1.2
IPR005990	00230+1.1.1.205
IPR030475	00230+1.17.4.1
IPR002891	00230+2.7.1.25
IPR005946	00230+2.7.6.1
IPR029099	00230+2.7.6.1
IPR000684	00230+2.7.7.6
IPR023464	00230+2.7.7.6
IPR012293	00230+2.7.7.6
IPR007073	00230+2.7.7.6
IPR002297	00230+2.7.7.7
IPR017961	00230+2.7.7.7
IPR022635	00230+2.7.7.7
IPR028112	00230+2.7.7.7
IPR006434	00230+3.1.3.5
IPR013706	00230+3.1.4.17
IPR022977	00230+3.2.2.8
IPR005164	00230+3.5.3.4
IPR028892	00230+3.5.4.2
IPR013659	00230+3.5.4.4
IPR000081	00230+3.6.1.15
IPR020973	00230+3.6.1.15
IPR014838	00230+3.6.1.15
IPR022120	00230+3.6.1.15
IPR003695	00230+3.6.1.40
IPR024685	00230+4.6.1.1
IPR009398	00230+4.6.1.1
IPR016577	00230+4.6.1.1
IPR013716	00230+4.6.1.1
IPR010045	00230+5.4.2.7
IPR004733	00230+6.3.3.1
IPR000115	00230+6.3.4.13
IPR020560	00230+6.3.4.13
IPR001674	00230+6.3.5.2
IPR022940	00230+6.3.5.3
IPR008067	00232+1.14.14.1
IPR013554	00240+1.17.4.1
IPR006338	00240+1.8.1.9
IPR020940	00240+2.1.1.45
IPR023031	00240+2.4.2.10
IPR010058	00240+2.4.2.3
IPR001267	00240+2.7.1.21
IPR020633	00240+2.7.1.21
IPR026008	00240+2.7.1.48
IPR006266	00240+2.7.4.14
IPR024894	00240+2.7.4.14
IPR011410	00240+2.7.4.6
IPR012754	00240+2.7.7.6
IPR011263	00240+2.7.7.6
IPR007642	00240+2.7.7.6
IPR007075	00240+2.7.7.6
IPR004973	00240+2.7.7.6
IPR000201	00240+2.7.7.7
IPR029702	00240+2.7.7.7
IPR027030	00240+2.7.7.7
IPR006134	00240+2.7.7.7
IPR021029	00240+2.7.7.7
IPR002297	00240+2.7.7.7
IPR029703	00240+2.7.7.7
IPR006172	00240+2.7.7.7
IPR010394	00240+3.1.3.5
IPR016473	00240+3.5.4.12
IPR008181	00240+3.6.1.23
IPR018089	00240+4.1.1.23
IPR005933	00250+1.2.1.88
IPR025703	00250+1.2.1.88
IPR008141	00250+1.4.1.1
IPR008143	00250+1.4.1.1
IPR005854	00250+2.4.2.14
IPR011244	00250+4.3.2.1
IPR008146	00250+6.3.1.2
IPR002474	00250+6.3.5.5
IPR013537	00254+6.4.1.2
IPR003437	00260+1.4.4.2
IPR016550	00260+2.1.1.2
IPR028896	00260+2.1.2.10
IPR004642	00260+4.3.1.17
IPR001721	00260+4.3.1.19
IPR005995	00260+5.4.2.12
IPR013371	00260+5.4.2.12
IPR022697	00270+1.1.1.3
IPR010097	00270+1.1.1.37
IPR011822	00270+2.1.1.13
IPR013215	00270+2.1.1.14
IPR002629	00270+2.1.1.14
IPR005957	00270+2.6.1.5
IPR017718	00270+3.1.3.87
IPR004643	00270+4.3.1.17
IPR011548	00280+1.1.1.31
IPR006108	00280+4.2.1.17+1.1.1.35
IPR006258	00280+1.8.1.4
IPR012803	00280+4.2.1.17
IPR006099	00280+5.4.99.2
IPR012805	00281+2.3.1.16
IPR030021	00281+4.1.3.4
IPR004429	00290+1.1.1.85
IPR016207	00290+1.1.1.86
IPR014359	00290+1.1.1.86
IPR024890	00290+2.3.1.182
IPR005671	00290+2.3.3.13
IPR006251	00290+4.2.1.33
IPR011827	00290+4.2.1.33
IPR015931	00290+4.2.1.33
IPR015932	00290+4.2.1.33
IPR020558	00290+4.2.1.9
IPR005789	00290+4.3.1.19
IPR014397	00300+1.2.1.31
IPR011872	00300+2.3.3.14
IPR002986	00300+4.1.1.20
IPR005863	00300+6.3.2.10
IPR025776	00310+2.1.1.43
IPR021162	00310+2.1.1.43
IPR009207	00310+2.1.1.43
IPR012144	00330+1.14.13.39
IPR011241	00330+1.2.1.38+2.7.2.8
IPR005931	00330+1.2.1.88
IPR029036	00330+1.5.1.2
IPR024904	00330+2.1.3.3
IPR017651	00330+2.3.1.109
IPR005944	00330+3.4.11.5
IPR008223	00330+3.5.1.5
IPR005848	00330+3.5.1.5
IPR011612	00330+3.5.1.5
IPR016681	00330+3.5.1.96
IPR004809	00330+6.3.1.2
IPR012134	00332+1.2.1.41
IPR012131	00340+1.1.1.23
IPR012886	00340+2.1.2.5
IPR024893	00340+2.4.2.17
IPR013115	00340+2.4.2.17
IPR001348	00340+2.4.2.17
IPR021130	00340+3.6.1.31
IPR022740	00350+1.10.3.1
IPR012688	00350+1.14.14.9
IPR014313	00350+1.2.3.1
IPR012684	00350+5.3.3.10+4.1.1.68
IPR000763	00360+1.11.1.21
IPR029590	00360+1.11.1.7
IPR023786	00360+1.14.13.127
IPR012079	00360+1.2.1.10
IPR006108	00360+4.2.1.17
IPR006756	00361+1.14.13.7
IPR023594	00361+3.8.1.5
IPR024756	00362+1.13.11.3
IPR015426	00362+1.2.1.10
IPR026968	00362+3.1.1.24
IPR023793	00362+4.2.1.80
IPR003464	00362+5.3.3.4
IPR008363	00363+3.1.1.2
IPR002640	00363+3.1.1.2
IPR012799	00380+4.2.1.17+1.1.1.35
IPR011614	00380+1.11.1.6
IPR002226	00380+1.11.1.6
IPR004981	00380+1.13.11.11
IPR008066	00380+1.14.14.1
IPR008069	00380+1.14.14.1
IPR023784	00380+1.2.4.2
IPR010111	00380+3.7.1.3
IPR012803	00380+4.2.1.17
IPR022893	00400+1.1.1.25
IPR022872	00400+1.1.1.282
IPR012070	00400+1.3.1.78
IPR028633	00010+1.1.1.1
IPR011304	00010+1.1.1.27
IPR012004	00010+2.7.1.11
IPR012003	00010+2.7.1.11
IPR004654	00010+2.7.1.2
IPR011301	00010+2.7.1.69
IPR015911	00010+2.7.2.3
IPR000741	00010+4.1.2.13
IPR020810	00010+4.2.1.11
IPR018052	00010+5.1.3.3
IPR011258	00010+5.4.2.12
IPR005995	00010+5.4.2.12
IPR014089	00010+6.2.1.13
IPR005884	00020+1.3.5.4
IPR006257	00020+2.3.1.12
IPR006256	00020+2.3.1.12
IPR018951	00020+4.2.1.2
IPR015933	00020+4.2.1.3
IPR016102	00020+6.2.1.5
IPR005930	00020+6.4.1.1
IPR022674	00030+1.1.1.49
IPR010973	00030+2.7.1.69
IPR010975	00030+2.7.1.69
IPR005946	00030+2.7.6.1
IPR009164	00030+3.1.3.11
IPR000146	00030+3.1.3.11
IPR028581	00030+4.1.2.4
IPR014826	00030+4.1.2.43
IPR000138	00650+4.1.3.4
IPR012799	00650+5.1.2.3+4.2.1.17+1.1.1.35
IPR028615	00650+5.2.1.1
IPR004429	00660+1.1.1.85
IPR005128	00660+4.1.1.5
IPR006396	00660+5.4.99.1
IPR000672	00670+1.5.1.5+3.5.4.9
IPR006223	00670+2.1.2.10
IPR022903	00670+2.1.2.10
IPR013977	00670+2.1.2.10
IPR024050	00670+2.1.2.3
IPR004810	00670+3.5.1.10
IPR011274	00680+1.1.1.37
IPR016008	00680+1.4.9.1
IPR013504	00680+1.4.9.1
IPR008031	00680+2.1.1.248
IPR011307	00680+2.1.1.86
IPR005244	00680+2.5.1.77
IPR015912	00680+2.7.1.11
IPR012828	00680+2.7.1.11
IPR006319	00680+2.7.9.2
IPR022681	00680+2.8.4.1
IPR016212	00680+2.8.4.1
IPR021135	00680+4.1.1.31
IPR018129	00680+4.1.1.31
IPR000941	00680+4.2.1.11
IPR014185	00680+4.4.1.22
IPR011258	00680+5.4.2.12
IPR013371	00680+5.4.2.12
IPR011904	00680+6.2.1.1
IPR012188	00710+1.1.1.40
IPR011273	00710+1.1.1.82
IPR005478	00710+2.2.1.1
IPR027250	00710+2.7.2.3
IPR000926	00740+3.5.4.25
IPR004794	00740+3.5.4.26+1.1.1.193
IPR019576	00750+1.4.3.5
IPR004569	00750+2.6.99.2
IPR026260	00750+4.2.3.1
IPR016429	00760+2.7.7.1+2.7.1.22
IPR015376	00760+3.6.1.22
IPR006405	00760+6.3.4.21
IPR016206	00770+1.1.1.86
IPR012846	00770+2.2.1.6
IPR001977	00770+2.7.1.24
IPR011602	00770+2.7.1.33
IPR011847	00770+4.1.1.36
IPR000581	00770+4.2.1.9
IPR010722	00780+2.8.1.6
IPR004472	00780+6.3.3.3
IPR004143	00785+2.3.1.181
IPR017925	00790+1.5.1.3
IPR007179	00790+4.1.2.25
IPR013485	00790+4.1.99.18
IPR012010	00791+3.5.1.5
IPR008223	00791+3.5.1.5
IPR002424	00830+1.1.1.1
IPR014187	00830+1.1.1.1
IPR008072	00830+1.14.14.1
IPR008071	00830+1.14.14.1
IPR018214	00860+1.2.1.70
IPR005970	00860+1.3.7.7
IPR010244	00860+1.3.99.35
IPR010251	00860+2.1.1.11
IPR006365	00860+2.1.1.132
IPR022417	00860+2.5.1.61
IPR012363	00860+2.7.1.177
IPR003805	00860+2.7.8.26
IPR023652	00860+4.99.1.3
IPR020751	00860+6.1.1.17
IPR004527	00860+6.1.1.17
IPR004526	00860+6.1.1.17
IPR025861	00860+6.6.1.2
IPR006537	00860+6.6.1.2
IPR003821	00900+1.1.1.267
IPR023282	00900+1.1.1.34
IPR003451	00900+1.17.1.2
IPR004588	00900+1.17.7.1
IPR011554	00900+2.3.3.10
IPR018294	00900+2.7.7.60
IPR005935	00900+4.1.1.33
IPR002648	00908+2.5.1.27
IPR030666	00908+2.5.1.75
IPR010142	00910+1.18.6.1
IPR014279	00910+1.18.6.1
IPR005976	00910+1.18.6.1
IPR012220	00910+1.4.1.14
IPR017570	00910+1.7.2.2
IPR003321	00910+1.7.2.2
IPR016100	00910+1.7.99.1
IPR015892	00910+4.2.1.1
IPR018338	00910+4.2.1.1
IPR002650	00920+2.7.7.4
IPR006240	00920+3.1.3.7
IPR000763	00940+1.11.1.21
IPR029587	00940+1.11.1.7
IPR005922	00940+4.3.1.24
IPR023144	00940+4.3.1.24
IPR005962	00950+1.14.16.2
IPR020931	00950+4.1.1.25
IPR005861	00960+2.6.1.9
IPR005793	00970+2.1.2.9
IPR015518	00970+2.1.2.9
IPR020028	00970+2.7.1.164
IPR024107	00970+6.1.1.1
IPR002310	00970+6.1.1.14
IPR023717	00970+6.1.1.15
IPR022888	00970+6.1.1.17
IPR024109	00970+6.1.1.2
IPR005121	00970+6.1.1.20
IPR005147	00970+6.1.1.20
IPR004522	00970+6.1.1.22
IPR022874	00970+6.1.1.9
IPR014183	00982+1.1.1.1
IPR012143	00982+1.14.13.8
IPR008068	00982+1.14.14.1
IPR018090	00983+2.4.2.4
IPR001889	00983+2.7.1.21
IPR013672	00983+2.7.1.21
IPR020633	00983+2.7.1.21
IPR027502	00983+3.6.1.19
IPR026598	00983+6.3.5.2
IPR010121	00710+2.7.9.1
IPR009164	00710+3.1.3.11
IPR020871	00710+4.1.1.39
IPR017444	00710+4.1.1.39
IPR029769	00710+4.1.2.13
IPR000741	00710+4.1.2.13
IPR022891	00710+5.3.1.1
IPR016101	00720+1.2.99.2
IPR011281	00720+1.3.5.1
IPR020867	00720+1.5.1.5+3.5.4.9
IPR004614	00720+2.3.1.8
IPR002505	00720+2.3.1.8
IPR011167	00720+4.2.1.2
IPR006098	00720+5.4.99.2
IPR020826	00730+2.2.1.7
IPR015031	00730+3.6.1.15
IPR002868	00730+3.6.1.15
IPR000208	00730+3.6.1.15
IPR001665	00730+3.6.1.15
IPR002535	00730+3.6.1.15
IPR012177	00730+3.6.1.28
IPR002817	00730+4.1.99.17
IPR012825	00740+1.13.11.79
IPR002180	00740+2.5.1.78
IPR001783	00740+2.5.1.9
IPR026017	00740+2.5.1.9
IPR011158	00740+3.1.3.2
IPR030043	00740+3.1.3.2
IPR007524	00040+4.2.2.2
IPR026019	00040+5.1.3.1
IPR004661	00040+5.1.3.4
IPR003766	00040+5.3.1.12
IPR021120	00040+5.3.1.17
IPR007045	00040+5.3.1.17
IPR003762	00040+5.3.1.4
IPR023028	00051+1.1.1.17
IPR013450	00051+2.7.1.51
IPR010974	00051+2.7.1.69
IPR011618	00051+2.7.1.69
IPR011405	00051+2.7.1.90
IPR029768	00051+4.1.2.13
IPR006411	00051+4.1.2.13
IPR029769	00051+4.1.2.13
IPR015654	00051+4.2.1.68
IPR012889	00051+5.3.1.25
IPR011857	00051+5.3.1.8
IPR022672	00052+2.7.1.1
IPR001312	00052+2.7.1.1
IPR022963	00052+2.7.1.6
IPR013011	00052+2.7.1.69
IPR010973	00052+2.7.1.69
IPR011638	00052+2.7.1.69
IPR005849	00052+2.7.7.12
IPR013739	00052+3.2.1.23
IPR024746	00052+3.2.1.26
IPR023955	00052+4.1.2.40
IPR015443	00052+5.1.3.3
IPR028356	00053+1.1.1.22
IPR010029	00053+1.3.2.3
IPR004719	00053+2.7.1.69
IPR011297	00053+2.7.1.69
IPR011285	00061+1.1.1.100
IPR026025	00061+1.1.1.100+2.3.1.41+2.3.1.86
IPR013747	00061+2.3.1.180
IPR006176	00062+4.2.1.17+1.1.1.35
IPR006180	00062+4.2.1.17+1.1.1.35
IPR013601	00062+2.3.1.199
IPR028632	00071+1.1.1.1
IPR002655	00071+1.3.3.6
IPR023775	00071+6.2.1.20
IPR030310	00071+6.2.1.3
IPR027167	00072+4.1.3.4
IPR030021	00072+4.1.3.4
IPR007736	00073+1.11.2.3
IPR017088	00073+2.3.1.75
IPR010197	00130+4.2.1.113
IPR008069	00140+1.14.14.1
IPR008072	00140+1.14.14.1
IPR019470	00190+1.10.2.2
IPR016813	00190+1.6.99.3+1.6.5.3
IPR013090	00590+3.1.1.4
IPR023206	00591+1.14.14.1
IPR008069	00591+1.14.14.1
IPR008072	00591+1.14.14.1
IPR002425	00592+1.1.1.1
IPR003187	00592+3.1.1.32+3.1.1.4
IPR006176	00592+4.2.1.17
IPR006180	00592+4.2.1.17
IPR028794	00600+3.1.3.4
IPR024129	00600+3.1.4.12
IPR026944	00600+3.2.1.18
IPR015344	00600+3.2.1.18
IPR003476	00600+3.2.1.23
IPR013738	00600+3.2.1.23
IPR014551	00600+3.2.1.45
IPR022956	00603+3.2.1.52
IPR004199	00604+3.2.1.23
IPR018954	00604+3.2.1.23
IPR006103	00604+3.2.1.23
IPR016173	00620+1.1.1.28
IPR010945	00620+1.1.1.37
IPR014092	00620+1.2.3.3
IPR006257	00620+2.3.1.12
IPR012147	00620+2.3.1.8
