R00526	00340 00630
R00527	00680 01120
R00528	00920 01120
R00529	00230 00920 01100 01120
R00530	00920 01100 01120
R00531	00920 01100
R00533	00920 01120
R00535	00140
R00536	00140
R00537	00140
R00540	00460 00910 01100
R00548	00740
R00549	00740 01100
R00551	00330 01100 01110
R00552	00330 01100 01110
R00554	00330
R00557	00330 01100 01110
R00558	00330
R00559	00330
R00562	00330
R00563	00330
R00565	00260 00330 01100
R00566	00330 01100
R00567	00472 01100
R00568	00240
R00569	00240
R00570	00240 01100
R00571	00240 01100
R00573	00240 01100
R00575	00240 00250 01100
R00576	00250
R00578	00250 00910 01100 01110 01120
R00579	00471 01100
R00582	00260 00680 01100 01120
R00585	00260 01100
R00586	00270 00920 01100 01120
R00588	00260 00680 01100 01110 01120
R00589	00260
R00590	00270
R00602	00680 01100 01120
R00603	00625 01120
R00604	00625 00680 01100 01120
R00605	00680 01100 01120
R00606	00680 01120
R00608	00680 01100 01120
R00609	00680 01120
R00610	00260 01100
R00611	00260 01100
R00615	00730 01100
R00616	00730 01100
R00617	00730 01100
R00618	00730 01100
R00619	00730 01100
R00621	00020 01120
R00623	00071
R00629	00920 01120
R00631	00071
R00638	00071
R00639	00071
R00640	00053 01100 01110
R00643	00053 01100 01110
R00644	00053 00480
R00645	00053
R00646	00053
R00647	00053 01100
R00648	00270 01100
R00650	00270 01100 01110
R00653	00270 00630
R00654	00270
R00657	00270
R00658	00010 00680 01100 01110 01120
R00660	00520 00550 01100
R00661	00440 01100 01110 01120
R00662	00240 01100
R00667	00330 01100 01110
R00669	00330 01100 01110
R00670	00330 00480 01100 01110
R00671	00330 01110
R00672	00472 01100
R00673	00380 00910
R00674	00400 01100 01110
R00677	00380 01100
R00678	00380 01100
R00679	00380
R00681	00380
R00684	00380 01100
R00685	00380 00901 01100 01110
R00686	00360
R00688	00360 00400 01100 01110
R00689	00360 00400 01100
R00690	00360
R00691	00400
R00692	00360 00400 00960 01100 01110
R00693	00360
R00694	00360 00400 00960 01100 01110
R00697	00360 00910 00940 01100 01110
R00698	00360
R00699	00360
R00700	00680
R00702	00100 01100 01110
R00703	00010 00620 01100 01110 01120
R00704	00620
R00705	00410 00562 00640 01100
R00706	00410 00562 00640 01100
R00707	00250 00330 01100
R00708	00250 00330 01100
R00709	00020 01100 01110 01120
R00710	00010 00620 01100 01110 01120
R00711	00010 00620 01100 01120
R00713	00250 00350 00650 01100 01120
R00714	00250 00350 00650 01100 01120
R00715	00300 00310 01100 01110
R00716	00300 00310 01100 01110
R00717	00630 01100 01120
R00719	00230
R00720	00230
R00722	00230
R00723	00230
R00726	00010 00020 00620 01100 01110 01120
R00727	00020 01100 01110 01120
R00728	00350 00910
R00729	00350 00400 00950 01100
R00730	00460 01110
R00731	00350 00950 00965 01100
R00732	00400 01100
R00733	00400 01100
R00734	00130 00350 00400 00401 00950 01100 01110
R00736	00350 00950 01110
R00737	00910 00940
R00739	00350
R00740	00640 00720 01100 01120
R00742	00253 00620 00640 00720 01100 01110 01120
R00743	00410 00640
R00744	00640 01100
R00746	00010 01100 01110 01120
R00747	00440 01100 01120
R00749	00564
R00750	00360 00362 00621 00622 01100 01120
R00751	00260 01100 01110 01120
R00753	00620
R00754	00010 01100 01110 01120
R00755	00010 01100
R00761	00710 01120
R00762	00680 00710 01100 01120
R00764	00680 01120
R00765	00520 01100
R00766	00500 01100
R00768	00250 00520 01100
R00774	00330 01100
R00776	00230
R00778	00791 01120
R00781	00920
R00782	00270 01100
R00783	00910 01120
R00785	00910 01120
R00787	00910 01120
R00789	00910 01120
R00790	00910 01120
R00791	00910
R00792	00910
R00793	00910
R00794	00910
R00796	00910
R00799	00910
R00800	00910
R00801	00052
R00802	00500 01100
R00803	00500
R00805	00500 01100
R00806	00500 01100
R00807	00500
R00811	00500
R00812	00361 01120
R00813	00362 01100 01120
R00815	00627 01120
R00816	00362 01120
R00817	00362 01100 01120
R00818	00621 00624 00626 01100 01120
R00821	00362 00627 01120
R00822	00362 00627 01120
R00823	00627 00910 01120
R00825	00627 00910 01120
R00829	00362 01120
R00830	00260 00860 01100
R00832	00330
R00833	00280 00630 00640 00720 01100 01120
R00837	00500
R00838	00500
R00841	00561 01100
R00842	00564
R00844	00564
R00846	00564
R00847	00561 01100
R00848	00564
R00851	00561 00564 01100
R00855	00564
R00856	00564
R00858	00920 01100 01120
R00859	00920 01100 01120
R00861	00920 01100 01120
R00863	00270
R00864	00920
R00865	00051
R00866	00051 01100
R00867	00051 01100
R00868	00051
R00870	00051
R00872	00051
R00875	00051 01100
R00877	00051 01100
R00878	00051 01100
R00879	00051
R00880	00051 00520
R00881	00051
R00883	00051 00520 01100 01110
R00885	00051 00520 01100 01110
R00887	00051
R00888	00051 00520 01100
R00889	00053 00520 01100 01110
R00890	00051
R00891	00260
R00892	00270
R00893	00270 00430 01100
R00894	00480 01100
R00895	00270 01100
R00896	00270 01100
R00897	00270 00920 01100 01120
R00899	00480 01100
R00900	00270
R00901	00270 00430 01100
R00903	00270
R00904	00410
R00905	00240 00410 00770 01100
R00907	00410 00640 01100
R00908	00410 00640 01100
R00909	00410
R00910	00410
R00911	00410
R00912	00410
R00914	00640
R00918	00522 01110
R00919	00640 00720 01120
R00920	00640
R00921	00640
R00923	00640
R00924	00410
R00926	00640 01100
R00927	00280 01100 01110
R00928	00620 00640
R00930	00640
